Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell
novelGene_ENSMUSG00000016619.10_AS	14	21	5	5	6	3	6	4
novelGene_ENSMUSG00000016831.12_AS	2	1	0	0	0	0	0	0
novelGene_ENSMUSG00000016984.7_AS	11	3	5	1	3	0	0	0
novelGene_ENSMUSG00000017167.6_AS	1	1	1	0	0	0	0	0
novelGene_ENSMUSG00000017288.15_AS	0	0	2	2	2	0	0	0
novelGene_ENSMUSG00000017291.13_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000017307.16_AS	2	3	2	1	1	0	1	0
novelGene_ENSMUSG00000017417.14_AS	0	0	0	2	0	1	1	0
novelGene_ENSMUSG00000017421.18_AS	4	3	2	3	2	0	0	0
novelGene_ENSMUSG00000017478.15_AS	0	0	0	1	0	1	0	0
novelGene_ENSMUSG00000017548.15_AS	1	0	2	0	0	0	0	1
novelGene_ENSMUSG00000017607.9_AS	0	0	0	4	0	1	1	0
novelGene_ENSMUSG00000017631.19_AS	4	10	10	2	5	1	5	0
novelGene_ENSMUSG00000017652.16_AS	0	0	2	0	0	0	0	0
novelGene_ENSMUSG00000017707.9_AS	4	3	10	7	9	0	0	3
novelGene_ENSMUSG00000017715.11_AS	3	7	3	2	4	0	0	0
novelGene_ENSMUSG00000017760.16_AS	0	3	0	1	1	0	0	1
novelGene_ENSMUSG00000017781.17_AS	3	3	2	3	6	0	0	0
novelGene_ENSMUSG00000017843.14_AS	0	2	2	3	5	0	0	1
novelGene_ENSMUSG00000017861.11_AS	0	0	2	0	0	0	0	0
novelGene_ENSMUSG00000017929.13_AS	3	0	1	2	3	0	0	0
novelGene_ENSMUSG00000017978.18_AS	0	0	0	2	0	3	1	0
novelGene_ENSMUSG00000018042.18_AS	0	1	1	0	0	0	0	0
novelGene_ENSMUSG00000018160.15_AS	0	1	5	1	0	0	0	1
novelGene_ENSMUSG00000018171.9_AS	21	17	11	8	10	2	1	5
novelGene_ENSMUSG00000018217.12_AS	28	16	32	14	27	0	1	1
novelGene_ENSMUSG00000018322.10_AS	2	0	4	0	2	0	0	0
novelGene_ENSMUSG00000018334.18_AS	0	0	0	8	0	1	2	0
novelGene_ENSMUSG00000018405.7_AS	5	4	5	3	4	2	2	1
novelGene_ENSMUSG00000018417.14_AS	2	1	2	0	0	0	0	0
novelGene_ENSMUSG00000018427.8_AS	0	2	0	0	2	0	0	0
novelGene_ENSMUSG00000018442.13_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000018481.9_AS	0	1	1	0	0	0	0	0
novelGene_ENSMUSG00000018548.15_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000018581.15_AS	0	0	0	0	0	8	0	0
novelGene_ENSMUSG00000018583.5_AS	0	0	1	0	1	0	1	0
novelGene_ENSMUSG00000018661.17_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000018678.13_AS	0	0	1	0	1	0	0	1
novelGene_ENSMUSG00000018697.14_AS	2	0	1	1	1	0	0	0
novelGene_ENSMUSG00000018707.13_AS	1	4	1	2	1	0	0	2
novelGene_ENSMUSG00000018796.13_AS	8	3	5	6	6	3	1	0
novelGene_ENSMUSG00000018800.14_AS	1	0	0	1	0	0	0	0
novelGene_ENSMUSG00000018848.4_AS	2	0	2	1	0	0	0	0
novelGene_ENSMUSG00000018909.15_AS	3	4	4	4	4	0	0	0
novelGene_ENSMUSG00000018920.11_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000018932.9_AS	4	7	13	4	6	0	0	1
novelGene_ENSMUSG00000018983.9_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000019132.11_AS	2	6	3	4	0	3	0	3
novelGene_ENSMUSG00000019173.11_AS	0	0	4	0	1	0	0	1
novelGene_ENSMUSG00000019210.10_AS	1	1	1	2	0	0	2	0
novelGene_ENSMUSG00000019254.16_AS	0	2	3	2	0	0	1	0
novelGene_ENSMUSG00000019302.16_AS	0	1	1	2	1	0	0	0
novelGene_ENSMUSG00000019373.11_AS	0	0	1	5	1	1	1	0
novelGene_ENSMUSG00000019428.16_AS	0	0	0	4	1	4	0	1
novelGene_ENSMUSG00000019432.15_AS	1	1	2	0	2	0	0	0
novelGene_ENSMUSG00000019564.12_AS	0	0	0	3	0	0	0	0
novelGene_ENSMUSG00000019659.8_AS	2	1	3	4	5	0	0	0
novelGene_ENSMUSG00000019715.14_AS	0	0	0	1	0	1	0	0
novelGene_ENSMUSG00000019726.12_AS	1	0	3	3	1	0	0	0
novelGene_ENSMUSG00000019731.13_AS	1	5	0	4	2	0	0	0
novelGene_ENSMUSG00000019763.11_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000019782.10_AS	0	1	1	0	1	0	0	0
novelGene_ENSMUSG00000019790.17_AS	1	3	0	2	3	0	0	0
novelGene_ENSMUSG00000019795.17_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000019804.12_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000019809.16_AS	1	0	1	4	1	0	0	0
novelGene_ENSMUSG00000019818.15_AS	0	0	1	0	0	0	0	1
novelGene_ENSMUSG00000019820.11_AS	0	1	2	1	1	0	0	1
novelGene_ENSMUSG00000019838.11_AS	1	0	1	0	1	0	1	0
novelGene_ENSMUSG00000019843.14_AS	0	0	1	0	0	0	1	0
novelGene_ENSMUSG00000019852.7_AS	0	0	0	0	2	0	0	0
novelGene_ENSMUSG00000019873.8_AS	1	2	2	0	2	0	0	1
novelGene_ENSMUSG00000019877.10_AS	6	5	11	4	1	0	0	1
novelGene_ENSMUSG00000019878.8_AS	0	3	2	1	2	0	0	0
novelGene_ENSMUSG00000019943.10_AS	5	1	4	7	8	0	0	0
novelGene_ENSMUSG00000019947.10_AS	0	0	1	2	1	0	0	0
novelGene_ENSMUSG00000019951.10_AS	3	0	3	0	1	3	0	0
novelGene_ENSMUSG00000019961.17_AS	13	6	10	3	2	0	1	1
novelGene_ENSMUSG00000019966.18_AS	0	1	1	0	1	0	0	0
novelGene_ENSMUSG00000019978.16_AS	24	3	35	14	6	1	0	0
novelGene_ENSMUSG00000019979.12_AS	0	0	0	0	0	3	0	0
novelGene_ENSMUSG00000019984.16_AS	4	3	4	6	9	0	0	0
novelGene_ENSMUSG00000019989.8_AS	0	0	2	2	0	1	1	0
novelGene_ENSMUSG00000020021.4_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000020033.2_AS	0	0	0	2	0	1	0	1
novelGene_ENSMUSG00000020048.13_AS	4	7	3	2	1	0	0	0
novelGene_ENSMUSG00000020053.18_AS	2	4	5	0	0	1	0	1
novelGene_ENSMUSG00000020063.16_AS	2	0	1	0	2	0	0	0
novelGene_ENSMUSG00000020074.7_AS	0	1	1	0	0	0	0	0
novelGene_ENSMUSG00000020077.14_AS	1	2	3	1	0	4	3	1
novelGene_ENSMUSG00000020078.16_AS	3	0	2	0	0	0	1	0
novelGene_ENSMUSG00000020097.14_AS	1	1	0	1	1	0	0	0
novelGene_ENSMUSG00000020115.3_AS	6	13	15	3	6	0	1	1
novelGene_ENSMUSG00000020120.15_AS	2	2	2	4	3	0	0	0
novelGene_ENSMUSG00000020124.10_AS	7	2	9	6	3	0	0	0
novelGene_ENSMUSG00000020128.15_AS	2	1	0	1	0	0	0	0
novelGene_ENSMUSG00000020135.13_AS	0	0	10	3	1	0	0	1
novelGene_ENSMUSG00000020149.17_AS	8	7	4	7	5	0	0	2
novelGene_ENSMUSG00000020152.7_AS	1	0	3	0	1	0	1	0
novelGene_ENSMUSG00000020171.8_AS	2	0	0	0	0	0	0	0
novelGene_ENSMUSG00000020184.15_AS	6	6	27	3	8	0	0	1
novelGene_ENSMUSG00000020185.16_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000020189.15_AS	0	0	2	0	4	0	1	1
novelGene_ENSMUSG00000020196.10_AS	0	0	0	1	3	1	0	0
novelGene_ENSMUSG00000020229.4_AS	0	0	0	0	0	1	1	0
novelGene_ENSMUSG00000020231.15_AS	1	1	0	0	0	0	0	0
novelGene_ENSMUSG00000020246.13_AS	1	2	2	0	1	0	0	0
novelGene_ENSMUSG00000020255.8_AS	1	1	1	1	2	0	0	0
novelGene_ENSMUSG00000020272.8_AS	5	7	9	7	7	1	0	1
novelGene_ENSMUSG00000020275.9_AS	8	15	18	11	16	1	1	1
novelGene_ENSMUSG00000020289.15_AS	1	1	0	4	2	1	0	0
novelGene_ENSMUSG00000020290.14_AS	2	3	2	4	0	0	0	0
novelGene_ENSMUSG00000020300.14_AS	1	1	1	0	0	0	0	0
novelGene_ENSMUSG00000020315.18_AS	0	0	0	6	0	4	3	1
novelGene_ENSMUSG00000020329.12_AS	0	0	0	10	0	0	0	1
novelGene_ENSMUSG00000020349.4_AS	3	1	2	0	0	0	1	0
novelGene_ENSMUSG00000020359.13_AS	2	2	3	1	3	0	1	0
novelGene_ENSMUSG00000020361.13_AS	1	4	9	5	6	0	0	1
novelGene_ENSMUSG00000020368.15_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000020375.9_AS	0	1	0	0	0	2	0	0
novelGene_ENSMUSG00000020386.5_AS	0	1	0	3	0	0	0	0
novelGene_ENSMUSG00000020387.15_AS	3	3	1	0	6	0	0	0
novelGene_ENSMUSG00000020390.12_AS	13	5	18	3	3	0	0	0
novelGene_ENSMUSG00000020397.15_AS	0	1	1	0	0	0	0	0
novelGene_ENSMUSG00000020399.14_AS	1	1	1	0	1	0	0	0
novelGene_ENSMUSG00000020400.17_AS	2	0	0	2	0	0	0	0
novelGene_ENSMUSG00000020402.11_AS	0	0	1	5	0	0	2	0
novelGene_ENSMUSG00000020409.10_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000020420.8_AS	0	0	0	5	0	6	2	0
novelGene_ENSMUSG00000020423.6_AS	0	4	0	0	3	0	0	0
novelGene_ENSMUSG00000020430.12_AS	4	8	7	1	0	0	1	0
novelGene_ENSMUSG00000020454.17_AS	5	3	5	3	3	0	0	0
novelGene_ENSMUSG00000020456.17_AS	0	2	1	1	1	0	0	1
novelGene_ENSMUSG00000020458.16_AS	1	1	7	6	1	0	0	1
novelGene_ENSMUSG00000020472.14_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000020476.14_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000020482.4_AS	0	2	0	0	0	0	0	0
novelGene_ENSMUSG00000020492.11_AS	0	0	1	1	0	0	0	1
novelGene_ENSMUSG00000020516.15_AS	1	0	0	1	0	0	0	0
novelGene_ENSMUSG00000020537.9_AS	1	1	1	3	1	0	0	0
novelGene_ENSMUSG00000020546.14_AS	0	1	0	1	0	0	0	0
novelGene_ENSMUSG00000020573.17_AS	5	6	5	3	7	0	1	1
novelGene_ENSMUSG00000020576.10_AS	2	0	0	1	0	0	0	0
novelGene_ENSMUSG00000020577.17_AS	2	1	4	4	3	0	0	0
novelGene_ENSMUSG00000020585.4_AS	0	1	1	0	1	0	0	0
novelGene_ENSMUSG00000020590.16_AS	0	0	2	2	0	0	0	0
novelGene_ENSMUSG00000020594.14_AS	0	1	0	0	0	1	1	1
novelGene_ENSMUSG00000020611.14_AS	12	9	5	7	7	0	0	3
novelGene_ENSMUSG00000020612.16_AS	6	5	5	6	3	0	0	0
novelGene_ENSMUSG00000020630.9_AS	2	2	4	1	0	0	0	0
novelGene_ENSMUSG00000020634.12_AS	0	0	0	0	4	0	0	0
novelGene_ENSMUSG00000020644.9_AS	4	5	1	0	1	1	1	2
novelGene_ENSMUSG00000020648.3_AS	0	0	0	2	0	1	1	0
novelGene_ENSMUSG00000020652.17_AS	0	0	1	0	1	0	0	0
novelGene_ENSMUSG00000020661.15_AS	3	2	3	5	4	0	0	1
novelGene_ENSMUSG00000020680.15_AS	1	1	1	1	1	0	0	0
novelGene_ENSMUSG00000020696.18_AS	1	1	2	0	0	0	0	0
novelGene_ENSMUSG00000020705.6_AS	1	0	0	0	0	0	1	0
novelGene_ENSMUSG00000020715.9_AS	1	0	3	0	0	0	0	0
novelGene_ENSMUSG00000020716.16_AS	9	3	3	1	1	0	0	0
novelGene_ENSMUSG00000020718.12_AS	1	1	0	0	0	0	0	0
novelGene_ENSMUSG00000020719.14_AS	32	23	23	11	30	0	0	4
novelGene_ENSMUSG00000020721.16_AS	8	4	3	3	1	1	0	0
novelGene_ENSMUSG00000020745.15_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000020770.13_AS	1	2	4	2	0	2	1	0
novelGene_ENSMUSG00000020773.11_AS	2	5	0	5	2	4	0	0
novelGene_ENSMUSG00000020780.15_AS	3	1	2	1	1	0	0	1
novelGene_ENSMUSG00000020787.14_AS	0	0	0	7	0	4	3	0
novelGene_ENSMUSG00000020790.14_AS	0	1	0	1	0	0	0	0
novelGene_ENSMUSG00000020794.13_AS	0	0	0	0	0	2	1	1
novelGene_ENSMUSG00000020806.15_AS	0	0	0	6	1	0	0	0
novelGene_ENSMUSG00000020817.16_AS	2	2	1	0	0	0	0	0
novelGene_ENSMUSG00000020823.16_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000020827.18_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000020849.13_AS	0	1	2	2	1	0	2	0
novelGene_ENSMUSG00000020850.14_AS	1	1	3	0	3	0	0	0
novelGene_ENSMUSG00000020859.16_AS	3	6	5	3	6	3	0	0
novelGene_ENSMUSG00000020863.15_AS	5	4	3	7	3	0	3	0
novelGene_ENSMUSG00000020869.8_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000020883.18_AS	0	0	0	7	0	1	1	1
novelGene_ENSMUSG00000020889.11_AS	0	1	0	0	0	0	1	0
novelGene_ENSMUSG00000020898.18_AS	0	0	11	0	0	0	0	2
novelGene_ENSMUSG00000020899.16_AS	0	0	0	0	1	1	0	0
novelGene_ENSMUSG00000020900.15_AS	2	0	1	3	2	0	1	1
novelGene_ENSMUSG00000020918.14_AS	2	0	0	0	1	0	0	1
novelGene_ENSMUSG00000020923.17_AS	0	0	0	4	1	3	3	0
novelGene_ENSMUSG00000020925.16_AS	2	0	0	0	2	0	0	0
novelGene_ENSMUSG00000020940.13_AS	0	0	0	1	0	1	1	0
novelGene_ENSMUSG00000020949.9_AS	0	0	2	0	0	0	1	0
novelGene_ENSMUSG00000020952.10_AS	0	1	1	0	0	0	0	0
novelGene_ENSMUSG00000020962.14_AS	7	7	8	11	7	1	3	1
novelGene_ENSMUSG00000020993.9_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000021003.10_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000021024.14_AS	1	2	0	0	0	7	6	0
novelGene_ENSMUSG00000021032.13_AS	0	0	1	2	0	0	2	0
novelGene_ENSMUSG00000021036.10_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000021038.17_AS	2	0	1	0	0	1	0	0
novelGene_ENSMUSG00000021048.7_AS	4	1	1	4	2	0	1	2
novelGene_ENSMUSG00000021051.10_AS	1	1	0	1	0	0	0	0
novelGene_ENSMUSG00000021054.6_AS	0	2	1	1	0	0	0	0
novelGene_ENSMUSG00000021067.8_AS	0	0	1	0	0	0	1	0
novelGene_ENSMUSG00000021068.16_AS	0	2	1	3	2	1	0	0
novelGene_ENSMUSG00000021072.12_AS	4	3	1	1	4	0	0	0
novelGene_ENSMUSG00000021076.6_AS	0	2	0	0	0	0	0	0
novelGene_ENSMUSG00000021096.11_AS	0	0	0	2	0	4	2	0
novelGene_ENSMUSG00000021108.18_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000021112.9_AS	2	0	1	0	0	0	0	0
novelGene_ENSMUSG00000021114.9_AS	21	28	23	9	9	0	3	1
novelGene_ENSMUSG00000021115.15_AS	0	0	1	2	0	0	1	0
novelGene_ENSMUSG00000021116.10_AS	0	3	2	4	2	0	0	0
novelGene_ENSMUSG00000021133.9_AS	0	0	0	1	0	0	1	0
novelGene_ENSMUSG00000021143.10_AS	6	6	5	9	7	0	0	0
novelGene_ENSMUSG00000021171.8_AS	2	1	2	3	3	0	0	0
novelGene_ENSMUSG00000021178.9_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000021182.16_AS	0	0	0	6	1	1	1	0
novelGene_ENSMUSG00000021185.16_AS	1	1	1	1	1	1	0	0
novelGene_ENSMUSG00000021190.14_AS	0	0	2	1	0	2	0	2
novelGene_ENSMUSG00000021196.14_AS	1	0	2	0	0	0	0	0
novelGene_ENSMUSG00000021224.15_AS	0	0	0	8	0	0	0	0
novelGene_ENSMUSG00000021236.16_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000021242.9_AS	3	4	3	1	2	0	1	0
novelGene_ENSMUSG00000021248.9_AS	0	0	2	2	2	0	0	0
novelGene_ENSMUSG00000021258.10_AS	0	1	4	0	2	0	0	0
novelGene_ENSMUSG00000021266.16_AS	0	1	2	0	1	0	0	0
novelGene_ENSMUSG00000021277.16_AS	5	2	2	0	0	1	0	0
novelGene_ENSMUSG00000021285.15_AS	1	0	2	0	0	0	1	0
novelGene_ENSMUSG00000021303.14_AS	2	1	1	0	0	0	0	0
novelGene_ENSMUSG00000021306.11_AS	1	0	1	5	1	0	0	0
novelGene_ENSMUSG00000021311.9_AS	0	1	2	1	1	0	0	0
novelGene_ENSMUSG00000021327.19_AS	0	1	2	0	0	0	0	0
novelGene_ENSMUSG00000021335.13_AS	0	0	0	1	0	3	0	0
novelGene_ENSMUSG00000021338.17_AS	4	4	4	2	4	0	1	2
novelGene_ENSMUSG00000021357.14_AS	3	1	2	5	1	0	0	0
novelGene_ENSMUSG00000021371.5_AS	3	0	0	1	2	0	0	0
novelGene_ENSMUSG00000021374.10_AS	0	0	1	0	0	0	1	0
novelGene_ENSMUSG00000021395.11_AS	0	3	4	7	3	0	0	0
novelGene_ENSMUSG00000021404.12_AS	0	0	1	5	0	8	0	0
novelGene_ENSMUSG00000021411.16_AS	2	0	1	0	0	0	0	0
novelGene_ENSMUSG00000021427.10_AS	7	5	6	3	5	2	0	1
novelGene_ENSMUSG00000021451.16_AS	0	3	1	2	1	1	0	0
novelGene_ENSMUSG00000021457.14_AS	0	0	2	0	1	0	0	1
novelGene_ENSMUSG00000021458.17_AS	0	2	0	0	0	1	0	0
novelGene_ENSMUSG00000021460.17_AS	1	1	1	3	2	0	0	0
novelGene_ENSMUSG00000021461.17_AS	1	2	2	10	2	0	0	0
novelGene_ENSMUSG00000021468.8_AS	1	4	1	0	1	0	0	1
novelGene_ENSMUSG00000021470.19_AS	0	0	1	0	0	0	0	1
novelGene_ENSMUSG00000021518.4_AS	2	3	0	1	1	2	0	0
novelGene_ENSMUSG00000021537.9_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000021540.16_AS	0	0	0	0	1	0	1	0
novelGene_ENSMUSG00000021546.18_AS	16	8	14	2	4	0	1	0
novelGene_ENSMUSG00000021549.14_AS	4	5	2	2	1	0	0	1
novelGene_ENSMUSG00000021569.10_AS	0	0	0	1	0	3	1	0
novelGene_ENSMUSG00000021596.16_AS	1	0	3	1	1	0	0	0
novelGene_ENSMUSG00000021608.15_AS	0	0	1	0	0	1	0	0
novelGene_ENSMUSG00000021624.9_AS	2	0	1	3	1	0	2	0
novelGene_ENSMUSG00000021676.10_AS	0	0	0	1	0	0	1	0
novelGene_ENSMUSG00000021684.17_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000021686.6_AS	2	2	2	1	2	0	1	1
novelGene_ENSMUSG00000021687.14_AS	0	3	0	2	0	0	0	0
novelGene_ENSMUSG00000021690.10_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000021697.12_AS	0	1	0	0	1	0	0	0
novelGene_ENSMUSG00000021699.17_AS	0	0	0	5	0	1	0	0
novelGene_ENSMUSG00000021701.8_AS	3	3	5	0	1	0	0	0
novelGene_ENSMUSG00000021704.8_AS	0	0	0	2	0	0	1	0
novelGene_ENSMUSG00000021706.14_AS	1	0	0	0	0	0	0	1
novelGene_ENSMUSG00000021733.11_AS	0	0	1	1	4	0	0	0
novelGene_ENSMUSG00000021738.5_AS	0	0	0	1	0	1	0	0
novelGene_ENSMUSG00000021745.14_AS	0	0	0	5	0	1	2	0
novelGene_ENSMUSG00000021767.19_AS	0	0	2	0	1	0	0	0
novelGene_ENSMUSG00000021775.11_AS	0	0	0	7	0	1	0	0
novelGene_ENSMUSG00000021798.14_AS	0	0	0	4	0	1	2	0
novelGene_ENSMUSG00000021809.10_AS	0	0	0	2	0	2	0	0
novelGene_ENSMUSG00000021840.17_AS	1	1	0	0	0	0	0	0
novelGene_ENSMUSG00000021870.17_AS	0	0	1	1	0	0	0	0
novelGene_ENSMUSG00000021877.12_AS	0	0	1	0	1	0	0	0
novelGene_ENSMUSG00000021879.13_AS	0	0	2	0	0	0	0	0
novelGene_ENSMUSG00000021903.11_AS	0	2	1	0	0	0	0	1
novelGene_ENSMUSG00000021928.9_AS	0	0	0	5	1	5	1	0
novelGene_ENSMUSG00000021929.9_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000021936.14_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000021938.12_AS	1	1	1	2	0	2	3	3
novelGene_ENSMUSG00000021939.8_AS	0	1	0	0	3	0	0	0
novelGene_ENSMUSG00000021945.9_AS	1	0	2	0	0	0	0	0
novelGene_ENSMUSG00000021952.16_AS	0	1	2	3	0	0	0	0
novelGene_ENSMUSG00000021969.8_AS	0	1	3	2	0	0	0	0
novelGene_ENSMUSG00000021972.14_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000021987.9_AS	0	0	1	0	1	0	0	0
novelGene_ENSMUSG00000021996.16_AS	1	1	0	0	0	0	0	0
novelGene_ENSMUSG00000021998.16_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000022008.4_AS	2	1	2	0	2	0	1	0
novelGene_ENSMUSG00000022010.19_AS	0	0	0	4	0	0	2	0
novelGene_ENSMUSG00000022024.10_AS	0	0	0	0	0	2	1	0
novelGene_ENSMUSG00000022048.8_AS	1	7	4	3	5	1	3	2
novelGene_ENSMUSG00000022052.9_AS	7	3	10	5	6	0	0	0
novelGene_ENSMUSG00000022095.9_AS	0	0	1	1	2	0	0	0
novelGene_ENSMUSG00000022096.14_AS	0	0	0	1	0	2	0	1
novelGene_ENSMUSG00000022098.10_AS	0	0	0	4	0	1	3	0
novelGene_ENSMUSG00000022114.5_AS	0	0	1	0	0	0	1	0
novelGene_ENSMUSG00000022126.6_AS	1	3	3	0	1	8	7	8
novelGene_ENSMUSG00000022139.17_AS	3	2	2	4	2	0	0	1
novelGene_ENSMUSG00000022142.8_AS	0	0	2	1	2	0	0	0
novelGene_ENSMUSG00000022150.16_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000022180.7_AS	0	0	1	0	0	1	0	0
novelGene_ENSMUSG00000022185.19_AS	0	0	0	0	2	0	0	0
novelGene_ENSMUSG00000022200.8_AS	0	0	2	0	1	0	0	0
novelGene_ENSMUSG00000022205.15_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000022240.10_AS	0	0	0	5	0	7	3	0
novelGene_ENSMUSG00000022246.14_AS	1	1	0	0	0	0	0	0
novelGene_ENSMUSG00000022255.16_AS	5	10	7	11	4	2	9	0
novelGene_ENSMUSG00000022265.7_AS	0	2	1	5	4	0	0	1
novelGene_ENSMUSG00000022280.9_AS	0	1	3	0	1	0	0	0
novelGene_ENSMUSG00000022285.17_AS	14	9	4	7	6	8	3	9
novelGene_ENSMUSG00000022335.17_AS	0	2	0	0	1	0	0	0
novelGene_ENSMUSG00000022336.3_AS	0	1	1	0	0	0	0	0
novelGene_ENSMUSG00000022346.15_AS	0	0	0	4	0	4	1	0
novelGene_ENSMUSG00000022351.14_AS	0	0	1	1	4	0	1	2
novelGene_ENSMUSG00000022353.10_AS	10	15	14	12	17	1	1	1
novelGene_ENSMUSG00000022360.8_AS	2	5	12	2	2	0	0	1
novelGene_ENSMUSG00000022364.14_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000022370.13_AS	2	0	0	0	0	0	0	0
novelGene_ENSMUSG00000022378.14_AS	2	1	1	1	3	0	0	0
novelGene_ENSMUSG00000022391.16_AS	0	0	0	3	0	3	3	3
novelGene_ENSMUSG00000022403.15_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000022412.14_AS	0	1	0	0	1	0	0	0
novelGene_ENSMUSG00000022412.14_AS_novelGene_ENSMUSG00000042406.8_AS	1	0	0	0	1	0	0	0
novelGene_ENSMUSG00000022414.8_AS	1	0	1	5	4	3	0	1
novelGene_ENSMUSG00000022415.12_AS	2	3	13	2	2	0	1	2
novelGene_ENSMUSG00000022419.16_AS	1	1	1	2	1	0	0	2
novelGene_ENSMUSG00000022428.8_AS	1	1	1	0	0	0	0	0
novelGene_ENSMUSG00000022434.8_AS	0	0	0	1	1	0	0	0
novelGene_ENSMUSG00000022439.9_AS	0	0	1	0	0	1	0	0
novelGene_ENSMUSG00000022442.16_AS	2	1	0	1	1	0	0	0
novelGene_ENSMUSG00000022451.12_AS	5	8	8	0	3	4	2	4
novelGene_ENSMUSG00000022462.7_AS	2	0	0	1	0	1	0	0
novelGene_ENSMUSG00000022463.8_AS	0	0	0	2	0	0	0	0
novelGene_ENSMUSG00000022476.8_AS	0	1	0	1	0	0	0	0
novelGene_ENSMUSG00000022477.13_AS	0	1	3	2	0	0	0	0
novelGene_ENSMUSG00000022488.9_AS	5	5	4	3	4	1	0	0
novelGene_ENSMUSG00000022507.6_AS	14	9	17	7	10	0	1	0
novelGene_ENSMUSG00000022519.14_AS	0	0	2	0	1	0	1	0
novelGene_ENSMUSG00000022521.10_AS	2	0	0	0	3	0	2	0
novelGene_ENSMUSG00000022529.11_AS	10	9	3	4	3	0	3	0
novelGene_ENSMUSG00000022533.14_AS	2	0	6	0	3	0	0	0
novelGene_ENSMUSG00000022536.14_AS	0	0	1	0	2	0	0	0
novelGene_ENSMUSG00000022537.18_AS	0	0	1	0	0	1	1	0
novelGene_ENSMUSG00000022546.5_AS_novelGene_ENSMUSG00000033819.16_AS	0	1	0	1	1	1	0	0
novelGene_ENSMUSG00000022555.12_AS	0	2	0	0	0	0	0	0
novelGene_ENSMUSG00000022558.16_AS	3	4	4	5	5	0	0	0
novelGene_ENSMUSG00000022565.15_AS	0	1	1	0	1	0	0	0
novelGene_ENSMUSG00000022574.7_AS_novelGene_ENSMUSG00000055762.16_AS	0	0	0	6	0	1	1	0
novelGene_ENSMUSG00000022601.11_AS	4	4	4	3	3	0	0	0
novelGene_ENSMUSG00000022615.7_AS_novelGene_ENSMUSG00000091780.3_AS	4	3	0	0	0	0	1	1
novelGene_ENSMUSG00000022652.7_AS	0	0	0	1	0	1	0	0
novelGene_ENSMUSG00000022677.15_AS	1	2	2	0	0	0	0	0
novelGene_ENSMUSG00000022701.18_AS	0	2	0	1	0	1	0	0
novelGene_ENSMUSG00000022702.16_AS_novelGene_ENSMUSG00000099908.1_AS	1	2	1	0	1	0	0	0
novelGene_ENSMUSG00000022708.16_AS	1	0	1	0	0	0	0	0
novelGene_ENSMUSG00000022723.16_AS	0	0	1	1	2	0	1	0
novelGene_ENSMUSG00000022747.17_AS	0	0	0	0	1	0	1	0
novelGene_ENSMUSG00000022749.8_AS	1	2	3	3	5	0	0	2
novelGene_ENSMUSG00000022750.18_AS	0	0	2	1	0	0	0	1
